File,Parameter,Scenario,Element,Year,Before,After,Reason,SourceIds,AssumptionIds,CalculationIds
genData.json,osy-comm,SC_0,PHL_POW_HEAT1,all,COM_pesfw,removed,"Remove unused/stranded heat commodity after graph, demand and Philippine direct-use boundary review",DS-MODEL-V13;DS-WGC-DIRECT-USE-2020;DS-DOE-EBT-PRIMER-2021;DS-IRENA-SEA-2018,AS-HEAT-SYSTEM-BOUNDARY,CAL-HEAT-STRUCTURE
genData.json,osy-comm,SC_0,PHL_POW_HEAT,all,COM_te2a0,removed,"Remove unused/stranded heat commodity after graph, demand and Philippine direct-use boundary review",DS-MODEL-V13;DS-WGC-DIRECT-USE-2020;DS-DOE-EBT-PRIMER-2021;DS-IRENA-SEA-2018,AS-HEAT-SYSTEM-BOUNDARY,CAL-HEAT-STRUCTURE
genData.json,osy-tech.OAR,SC_0,PHL_POW_GEO_OLD->PHL_POW_HEAT,all,COM_te2a0,removed,Remove one-for-one stranded geothermal heat output while retaining the geothermal electricity output,DS-MODEL-V13;DS-WGC-DIRECT-USE-2020;DS-DOE-EBT-PRIMER-2021;DS-IRENA-SEA-2018,AS-HEAT-SYSTEM-BOUNDARY,CAL-HEAT-STRUCTURE
RYT.json,RC,SC_0,PHL_POW_CHP_COAL_OLD,2020,10.9119,10.9439,Scale inherited residual profile to official 2020 stock,DS-DOE-EPIRA-2020;DS-MODEL-V13,AS-POWER-PROFILE,CAL-POWER-RC
RYT.json,RC,SC_0,PHL_POW_CHP_COAL_OLD,2021,10.9119,10.9439,Scale inherited residual profile to official 2020 stock,DS-DOE-EPIRA-2020;DS-MODEL-V13,AS-POWER-PROFILE,CAL-POWER-RC
RYT.json,RC,SC_0,PHL_POW_CHP_COAL_OLD,2022,10.9119,10.9439,Scale inherited residual profile to official 2020 stock,DS-DOE-EPIRA-2020;DS-MODEL-V13,AS-POWER-PROFILE,CAL-POWER-RC
RYT.json,RC,SC_0,PHL_POW_CHP_COAL_OLD,2023,10.9119,10.9439,Scale inherited residual profile to official 2020 stock,DS-DOE-EPIRA-2020;DS-MODEL-V13,AS-POWER-PROFILE,CAL-POWER-RC
RYT.json,RC,SC_0,PHL_POW_CHP_COAL_OLD,2024,10.3119,10.342140453083,Scale inherited residual profile to official 2020 stock,DS-DOE-EPIRA-2020;DS-MODEL-V13,AS-POWER-PROFILE,CAL-POWER-RC
RYT.json,RC,SC_0,PHL_POW_CHP_COAL_OLD,2025,10.3119,10.342140453083,Scale inherited residual profile to official 2020 stock,DS-DOE-EPIRA-2020;DS-MODEL-V13,AS-POWER-PROFILE,CAL-POWER-RC
RYT.json,RC,SC_0,PHL_POW_CHP_COAL_OLD,2026,10.3119,10.342140453083,Scale inherited residual profile to official 2020 stock,DS-DOE-EPIRA-2020;DS-MODEL-V13,AS-POWER-PROFILE,CAL-POWER-RC
RYT.json,RC,SC_0,PHL_POW_CHP_COAL_OLD,2027,10.3119,10.342140453083,Scale inherited residual profile to official 2020 stock,DS-DOE-EPIRA-2020;DS-MODEL-V13,AS-POWER-PROFILE,CAL-POWER-RC
RYT.json,RC,SC_0,PHL_POW_CHP_COAL_OLD,2028,10.3119,10.342140453083,Scale inherited residual profile to official 2020 stock,DS-DOE-EPIRA-2020;DS-MODEL-V13,AS-POWER-PROFILE,CAL-POWER-RC
RYT.json,RC,SC_0,PHL_POW_CHP_COAL_OLD,2029,10.3119,10.342140453083,Scale inherited residual profile to official 2020 stock,DS-DOE-EPIRA-2020;DS-MODEL-V13,AS-POWER-PROFILE,CAL-POWER-RC
