change_id,date,class,description,model_objects,evidence_path,map_rows_affected,resolve_status,author,commit,notes
CHG_PROVENANCE_RECON_20260730,2026-07-30,A,"Reconstructed canonical energy, land, water and environmental-accounting provenance ledgers without changing model or configuration inputs.",SOURCES.csv;CALCULATIONS.csv;ASSUMPTIONS.csv;MODEL_MAP.csv;GAPS.csv;CHANGES.csv,calculation_notes/PROVENANCE_RECONSTRUCTION_2026-07-30.md,,objective_unchanged,Codex,4690597ac3511f402990b03ecfc4182f70b3850b,
CHG_PROVENANCE_RECOVERY_20260805,2026-08-05,A,"Recovered exact GAEZ selection tables and 90-file URL manifest, bundled base rasters, FAOSTAT source files and selected rows, SSP2 workbook row and annual series, and material workflow-session events without changing model or configuration inputs.",SOURCES.csv;CALCULATIONS.csv;ASSUMPTIONS.csv;MODEL_MAP.csv;GAPS.csv;CHANGES.csv;evidence/land_agriculture_water;calculation_notes/SOURCE_PROVENANCE_RECOVERY_2026-08-05.md,calculation_notes/SOURCE_PROVENANCE_RECOVERY_2026-08-05.md,,objective_unchanged,Codex,,"Enriched active mappings MAP_CONFIG_CLIMATE and MAP_MUIO_CROP_DEMAND_GROWTH; added MAP_GAEZ_CACHE_MANIFEST, MAP_GAEZ_BASE_RASTERS, MAP_FAOSTAT_TOP10_SELECTION, MAP_SSP2_PHL_ROW and MAP_SSP2_ANNUAL_INDEX."
CHG_PHL_V13_CALIBRATION,2026-07-27,B,"Converted PM2.5 accounting coherently to kt, installed retained workbook-v5 factors, added navigation PM2.5, corrected cooking-oil CO2e, and linked blue-hydrogen capture to annual natural-gas input.",genData.json; RYTEM.json; RYE.json; RE.json,evidence/stock_turnover/documentation/MODEL_FIXES_2026-07-27.md,,resolved,Philippines model team,,"Exact values, fingerprints, formulas, and validation are retained inside v15; missing workbook bytes are in GAPS.csv."
CHG_PHL_V14_STOCK_TURNOVER,2026-07-28,B,"Replaced historical activity pins with documented initial stocks and full-horizon adoption ceilings, updated official power/road/cooking stocks, and removed the stranded geothermal heat branch.",genData.json; RYT.json; RT.json; RYC.json; RYCTs.json; RYTCM.json,evidence/stock_turnover/legacy_tables/PARAMETER_CHANGE_LOG.csv,,resolved,Philippines model team,,"All 3,253 before/after cells are expanded into MODEL_MAP.csv and retained verbatim in the source log."
CHG_PHL_V15_GWT_LINK,2026-08-04,B,Closed the missing raw-groundwater input on groundwater irrigation without calibrating activity or source share.,DEMAGRGWTPHL; PHL_WTR_GWT,calculation_notes/national_water_v15.md,MAP_PHL_GWT_IRRIGATION_STRUCTURE MAP_PHL_GWT_IRRIGATION_IAR,resolved,Codex,,Source JSON only; generated solver artifacts were not promoted as inputs.
CHG_PHL_V15_CLIMATE,2026-08-04,B,Rebased inherited national hydrology to the ERA5 1991-2020 normal and applied one SSP2-4.5 ensemble-median annual path.,LNDAGRPHLC01...LNDAGRPHLC08; PHL_WTR_PRC; PHL_WTR_SUR; PHL_WTR_GWT; PHL_WTR_EVT,calculation_notes/national_water_v15.md,MAP_PHL_CLIMATE_RYTCM MAP_PHL_WATER_SOURCE_SNAPSHOT MAP_PHL_WATER_MANIFEST,resolved,Codex,,p10 and p90 remain evidence metadata only.
CHG_PHL_V15_WATER_CAPS,2026-08-04,B,Added exact national annual gross-withdrawal sensitivity ceilings for surface water and groundwater.,WATER_SUR_AVAIL; WATER_GWT_POTENTIAL,calculation_notes/national_water_v15.md,MAP_PHL_SURFACE_CONSTRAINT_STRUCTURE MAP_PHL_GWT_CONSTRAINT_STRUCTURE MAP_PHL_SURFACE_UCC MAP_PHL_GROUNDWATER_UCC MAP_PHL_SURFACE_CAM MAP_PHL_GROUNDWATER_CAM,resolved,Codex,,"Potential-flow sensitivities only; no basin, aquifer stock or environmental-flow deduction."
CHG_PHL_V15_IDENTITY,2026-08-04,A,Named the implemented water-enabled case Philippines_v15 and retained BASE_V15; restored the unchanged pre-water v14 case as the control.,Philippines_v15/BASE_V15,calculation_notes/national_water_v15.md,,objective_unchanged,Codex,,Identity-only change; no model equation or numeric parameter changed. No active mapping is superseded.
CHG_PHL_V15_SCHEMA_LEDGER,2026-08-04,A,Added the canonical six-table source-trace ledger and a user-facing workbook for the Philippines v15 water implementation.,SOURCES.csv; CALCULATIONS.csv; ASSUMPTIONS.csv; MODEL_MAP.csv; GAPS.csv; CHANGES.csv,calculation_notes/national_water_v15.md,,objective_unchanged,Codex,,Documentation-only; live model inputs and results are untouched. No active mapping is superseded.
CHG_PHL_V15_CUMULATIVE_LEDGER,2026-08-05,A,"Replaced the delta-only filing convention with a cumulative, self-contained v15 ledger carrying inherited-base mappings, v13 calibration, v14 stock turnover, v15 water additions, retained evidence, and explicit gaps.",SOURCES.csv; CALCULATIONS.csv; ASSUMPTIONS.csv; MODEL_MAP.csv; GAPS.csv; CHANGES.csv,calculation_notes/CANONICAL_LEDGER_RECONSTRUCTION_2026-08-05.md,,objective_unchanged,Codex,,Documentation and packaging only. The previous v15 water-only ledger is preserved under history/water_delta_2026-08-04/.
