item,why_absent,upgrade_source,priority,notes
Inherited v10 energy row-level original bibliography,"The donor model and dated fixes survive, but the publications and calculation chain behind every inherited energy parameter were not retained.","Recover the original v7-v10 source package or rebuild a row-level register from authoritative DOE, PSA and technology-cost datasets.",medium,
Original model units for technology-specific activity and capacity rows,"The raw CSVs retain values and OSeMOSYS coordinates, but several non-energy CLEWs technologies use land, water or crop activity units rather than GW/PJ conventions and no complete unit dictionary survived.","Export the FUEL/TECHNOLOGY unit metadata from the exact pinned clewsy build and reconcile it against InputActivityRatio, OutputActivityRatio and CapacityToActivityUnit.",medium,
Original byte checksums for the 90 downloaded GAEZ crop rasters,"The exact filenames, URLs, source-table rows and selection logic were recovered, but the clean temporary cache itself was not frozen and no original per-file checksums survive.","Re-download the 90 URLs in GAEZ_PHL_RASTER_CACHE_MANIFEST.csv, retain the bytes and append independently verified SHA-256 values without claiming identity to the lost temporary bytes.",medium,
GADM 4.1 source archive checksum and original access date,"The extracted level-0 shapefile components survive, but the downloaded archive and acquisition log do not.","Retain the original or re-downloaded GADM 4.1 PHL archive with provider metadata, access date and SHA-256, then verify geometry equality.",medium,
Original upstream acquisition dates for bundled FAOSTAT SSP2 and GAEZ base-raster files,"The build session establishes the 2026-07-25 workflow date and the ledger establishes the 2026-08-05 recovery date, but it does not establish when upstream maintainers first acquired each bundled source file.",Recover immutable upstream release manifests or maintainer acquisition records; do not substitute the reconstruction date for an unknown historical acquisition date.,medium,
PAGASA gauge precipitation series and station metadata,The installed national normal uses ERA5 reanalysis; no retained PAGASA station/gauge extract was available for a country-weighted 1991-2020 reconstruction.,"Obtain PAGASA quality-controlled station series, station metadata and an explicit national aggregation method; compare against ERA5 before replacing the anchor.",medium,ERA5 is retained and clearly labeled reanalysis.
Raw CCKP HTTP response-body hashes,"The retained evidence is a normalized compilation with exact API URLs and values, but original response files and their download-time hashes were not preserved.","Re-download each exact endpoint, store raw JSON responses and response headers, and record one SHA-256 per response in SOURCES.csv.",medium,The normalized snapshot itself is retained and hash-verified.
Environmental-flow-adjusted surface availability,"The 125.79 km3/year figure is national surface-water potential, not dependable yield after environmental-flow reservation, storage, seasonality and conveyance losses.","National/basin dependable-yield studies, environmental-flow requirements, reservoir operating rules and observed allocation/withdrawal data.",high,The installed UCC is explicitly a sensitivity ceiling.
"Aquifer stock, head and safe yield","The 20.2 km3/year figure is national potential flow. The model has no aquifer polygons, initial head, saturated thickness, area, storage coefficient, natural discharge or admissible drawdown.",Aquifer-resolved hydrogeology and observed head series crosswalked to demand and recharge nodes; add a formulation that carries groundwater state between years.,high,No groundwater stock or depletion claim is made.
Seasonal and interannual water scarcity,"The installed annual median path cannot represent dry-season stress, typhoon sequencing, El Nino/La Nina variability or storage carryover.","PAGASA seasonal rainfall, basin runoff/recharge models, reservoir storage and seasonal demand/withdrawal data.",high,CCKP seasonal anomalies are retained as context but not installed.
"Pumping energy, lift and cost calibration","Inherited pumping-electricity links are retained, but groundwater lift, pumping efficiency, source depth and public/power pumping costs are not calibrated.","NWRB permits/well records, utility production and energy records, groundwater levels and pump efficiencies by source.",medium,The water link is physical 1:1; it does not determine the least-cost source split credibly.
Consistent national withdrawal boundary,The PSA 218.46 bcm abstraction includes large non-consumptive hydropower; AQUASTAT variable 4250 includes agricultural uses beyond irrigation; and the policy-note current-use figure and model withdrawals use different boundaries.,"Reconcile NWRB permits, PSA physical water accounts, NIA irrigation diversions, MWSS/LWUA/utility production, industrial self-supply and hydropower return flows.",high,The AQUASTAT 2006 and 2020 comparisons are now retained as boundary benchmarks; no observed source or sector share is calibrated.
Cell-level land-cluster geometry and basin/aquifer crosswalk,The companion repository retains summary files and a cluster-map image but not cell membership geometry needed to allocate coefficient classes to basins or aquifers.,Recover or recreate the original classified raster and retain a reproducible cell-to-cluster/basin/aquifer crosswalk.,low for national model; high for spatial rebuild,The whole-country model does not require this artifact.
Groundwater-dependent ecosystems and natural discharge,"No national dataset was available to deduct baseflow, spring discharge or ecosystem requirements from the potential-flow ceiling.","Hydrogeologic water balances, baseflow separation, spring inventories and ecosystem flow requirements by aquifer/basin.",high,The groundwater ceiling is not safe yield.
Original v13 calibration workbook bytes,"The workbook file was not retained, although its SHA-256, selected factors, formulas, source hierarchy, and all installed values survive in calibration_generation.json and the current model.",Recover the workbook whose recorded SHA-256 is c8601bf26acce39d6e661a9f5bcb4801c4de401a5b73ce212f9115cca5ba63f8 and verify it against the retained values.,medium,"This is an evidence-byte gap, not a missing model-value or calculation gap."
Original v13 source-case and full CBC result bytes,"The installed v13 folder and BASE_V13 result files were not frozen. Their hashes, solve identity, exact extracted 2020 capacities, fingerprints, formulas, and validation narrative survive inside the v15-retained v14 records.",Recover files matching the retained hashes and store them under evidence/stock_turnover without replacing the current records.,medium,All v14 stock values derived from them are retained exactly in stock_turnover_generation.json and PARAMETER_CHANGE_LOG.csv.
Local copies and checksums of some v14 official publications,"The v14 source register retained exact public URLs and selections but did not freeze every DOE, LTO, PSA, NTRC, WGC, and IRENA publication byte.","Download the exact cited editions, retain them without replacing the register, and append verified checksums.",low,"The citations, model use, formulas, assumptions, and every changed parameter value are already retained."
Crop- and system-specific irrigation diversion efficiency,The 38 percent national factor cannot represent crop season conveyance system or regional variation; AQUASTAT's comparable 2006 pair gives 50.74 percent while its current 2020 4250/4260 pair crosses agricultural and irrigation-only boundaries.,NIA diversion and service-area records plus crop-specific field application measurements.,medium,AQUASTAT is retained as a benchmark only. The installed 0.38 factor is unchanged and corrects the net-versus-gross accounting boundary without calibrating irrigated area.
National annual public-water use and NRW series,No harmonized national delivered-use and utility-production series was available for every model year.,PSA physical water accounts plus MWSS LWUA and local water-district billed and produced volumes.,medium,The model therefore uses 70 litres/person/day and 25 percent NRW as transparent national assumptions.
Groundwater head and pumping efficiency by use,The one-region case has no observed dynamic head or combined pump-motor efficiency for public supply and power water.,NWRB well records groundwater levels and utility or plant pumping electricity.,medium,The installed 50 metre and 70 percent assumptions prevent free pumping but do not calibrate source shares.
Irrigation service-area composition and retirement,"The national 2.006 Mha stock is not split by crop, model input class, scheme age or remaining life; it is therefore mapped to the currently represented high-input irrigated-rice option and held as maintained available capacity.",NIA scheme-level service area crop allocation commissioning rehabilitation and retirement records.,high,Use remains endogenous and no activity minimum share or UDC is installed; replace the aggregate mapping when a national scheme register is available.
Spatial rice calibration,National regime yields and costs do not identify their distribution across the eight GAEZ land clusters; preserving inherited relative cluster yields allows the optimizer to concentrate rice in higher-yield clusters.,PSA or NIA province-level irrigated/rainfed physical area production and cost data mapped to the model clusters.,medium,The 2020 solve selects 2.006 Mha irrigated area but produces 16.2883 Mt there versus the 14.57 Mt national benchmark because of endogenous spatial selection. Do not correct this with a crop-area constraint.
Future rice production costs,The model holds the closest national 2021 irrigated and non-irrigated palay cost per kilogram constant in real terms.,A consistent PSA cost-and-returns time series plus documented real input-price and productivity projections.,medium,The constant pair is preferable to the inherited token cost but is not a forecast.
Representative irrigation expansion cost,The DA-PRDP PHP300000/ha value is an indicative generic planning cost rather than a realized national mean and does not distinguish gravity pumping rehabilitation or scheme size.,NIA project-level approved cost and incremental service-area records with scheme technology classification.,medium,The proxy affects only optional new capacity and does not change the sunk initial stock.
Portable v16 archive refresh,The retained v16.0.0 portable archive is the 2026-08-05 migration baseline and predates the documented 2026-08-07 water-demand and irrigated-rice source changes.,Regenerate the compact result-free archive from the current live source case in the next explicit packaging or release task.,low,The current live inputs and exact deltas are traceable in MODEL_MAP.csv and retained manifests; no large result files need to enter the archive.
Subnational achieved crop yields,Only unit-matched 2020 national achieved yields are frozen; GAEZ supplies attainable potential rather than observed achieved yield by cluster.,Freeze PSA regional production and exactly matched area definitions by crop and water regime then calculate cluster-compatible achieved coefficients.,high,National yields are applied uniformly so absolute production per area is correct nationally while spatial yield variation remains unresolved.
Crop-specific spatial water allocation,Uniform national yields leave cluster choice endogenous against heterogeneous inherited crop-water coefficients; the repair materially changes irrigated-rice water use even though its national area is unchanged.,Reconcile subnational crop area irrigation source and crop-water requirement observations to the eight cluster definitions.,high,Do not add crop or water shares to hide this gap; reported subnational and crop-specific water results remain calibration-sensitive.
Harvested area versus physical land and cropping intensity,Annual harvested area is the best available unit-matched proxy for rainfed annual crops but may count the same physical hectare more than once.,Combine PSA harvested area with crop-specific cropping-intensity or physical planted-area evidence compatible with model land stocks.,medium,Irrigated rice instead uses physical irrigation service area; perennial coconut area is a direct physical-area proxy.
CRPTOM and CRPOTH aggregate composition,The existing aggregate commodities are retained and their 2020 aggregate yield bases are corrected but changing component mix is not represented.,Add component commodities and technologies only in a separately scoped structural extension supported by component demand area cost water and emissions data.,medium,No new object is required for this data repair; results are valid only for the retained aggregate definitions.
Coconut-to-copra processing boundary,"CRPCON is whole coconut with husk and v16 has no copra commodity, drying process, moisture basis, conversion loss, cost, energy use or copra demand.",Add a separately sourced copra commodity and conversion technology only if a future study requires processed coconut products.,low,Do not silently apply one mass factor to CRPCON; PCA varietal means show roughly 4.5-5.3 kg whole fruit per kg copra before process-specific refinements.
Offshore hourly aggregation and resource-ceiling alignment,"The NREL report provides zone annual means and states that hourly grid-cell data exist, but the exact hourly zone files are not frozen here; the inherited 30-timeslice relative shape is therefore retained. The existing broad offshore activity ceiling is not redefined by this correction.","Freeze the NREL Southeast Asia hourly zone/grid-cell dataset, document eligible-area coverage, aggregate it to the model timeslices, and align an offshore capacity or generation ceiling to the same geography.",medium,The annual net CF is sourced exactly; do not infer a best-resource tier from the retired _T1 suffix.
Philippine geothermal outage and steam-field availability series,"The restored 0.9 availability is the inherited engineering assumption; DOE generation and capacity data provide utilization benchmarks but do not separate outages, steam-field decline, curtailment and economic dispatch.","Plant-level DOE availability, outage and steam-field production records by year, with planned and forced outage definitions compatible with OSeMOSYS AvailabilityFactor.",medium,Do not fit AF directly to gross generation because generation is an endogenous outcome.
Cluster paddy soil percolation and scheme delivery efficiency,Only a national 38 percent delivery observation and FAO soil-class engineering values are frozen; the eight model clusters lack matched scheme soil and conveyance measurements.,NIA scheme design reports and monitored diversion field-delivery and soil-percolation records mapped to the eight cluster geometries.,high,Do not fit coefficients to national withdrawal totals or impose cluster water shares.
Irrigation return-flow partition and future cropping intensity,The current structure does not distinguish recoverable paddy seepage drainage and conveyance returns and the annualization uses the 2020 national cropping-intensity ratio through 2053.,Scheme water-balance studies with recoverable fractions and crop-season projections linked to physical service area by cluster.,medium,A future structural extension must preserve gross withdrawals and avoid double counting return water.
Forest transition dynamics and benefit sensitivity,"v17 installs national cumulative expansion and eligibility envelopes but lacks gross inter-year transition flows, parcel suitability, survival, costs, lags and alternative forest-benefit cases.","Observed land-use transition matrices; legal forestland and tenure overlays; slope, soil, biodiversity and restoration suitability; programme survival, costs and duration; conversion costs; policy benefit valuation; run 0, -5, -10 and higher-benefit cases.",high,The 2.5 thousand km2/year policy-rate proxy prevents the solved instantaneous jump but is not measured net forest-cover change.
Official PSA/NAMRIA and FAO publication bytes for v17 land evidence,Publisher anti-bot responses returned HTTP 403 for PSA files and reset the FAO connection during packaging.,Download the exact URLs frozen in snapshots/land_cover_2020.json when publisher access permits and add their checksums without changing the normalized inputs.,medium,"The exact normalized transcription, locators, mapping, arithmetic and source URLs are retained now."
Spatial allocation of national land-cover classes to the eight yield clusters,The retained PSA/NAMRIA table is national and no defensible overlay with the model cluster geometries was available.,Overlay NAMRIA Land Cover Map 2020 with the retained eight-cluster polygons and aggregate each model class by cluster.,high,v17 deliberately avoids unsupported pro-rata cluster pins.
Forest transition dynamics and current parcel suitability,"v17 installs a national cumulative expansion envelope and a documented 80 percent historical planning screen but lacks gross inter-year transition flows, a current parcel overlay, survival, costs and lags.","Observed land-use transition matrices; legal forestland and tenure overlays; slope, soil, biodiversity and restoration suitability; programme survival, costs and duration; conversion costs.",high,The 80 percent screen is forest-only and the 2.5 thousand km2/year policy-rate proxy is not measured net forest-cover change.
Idle/fallow land hydrology,Mode 2 uses LOTHTOT and therefore inherits the existing other-land hydrology proxy rather than measured idle/fallow coefficients.,"National or cluster-specific idle/fallow runoff, evapotranspiration and precipitation-partition evidence.",medium,The proxy is explicit and does not create a per-cluster area cap.
Common energy-cost price year,The inherited model declares USD and cost units but no real or nominal price year; v18 sources span 2020-2025.,Adopt and document one model-wide real price year then rebase every capital fixed and variable cost with a retained deflator series.,high,V18 uses source-year dollars directly and labels each reference year rather than claiming false constant dollars.
Exact DOE coal calorific-value table byte and locator,PR 1 reports the DOE official value as approximately 22.1 GJ/t but the exact table was not retained or independently located.,Retain the exact DOE coal import or energy-balance table with fuel basis and year.,medium,V18 records this as a conversion check only and does not change the coal-price path.
Post-2024 domestic gas production profile,Observed DOE production is available through 2024 but a public annual Malampaya Phase 4 and supplementary-field production profile is not retained.,DOE or operator field development plan with annual deliverability and reserve basis.,high,V18 uses a transparent 0.8 percent annual decline envelope after 2024.
Long-term Philippine landed LNG price path,Observed 2023-2025 landed values do not define a defensible 2053 forecast.,DOE or ERC long-term landed LNG forecast with shipping regasification contract and real-price basis.,high,V18 anchors 2023 and 2024 then preserves the inherited mild path shape.
